synapse ID,presynaptic,postsynaptic,,,,,,
39490,MI,I5,,,,,,
39492,MI,I5,,,,,,
39521,MI,I5,,,,,,
39523,MI,I5,,,,,,
39529,MI,I1R,,,,,,
39529,MI,M3R,,,,,,
39531,MI,pm4,,,,,,
39533,MI,MCL,,,,,,
39550,I1R,I5,,,,,,
39550,I1R,g1D,,,,,,
39557,I2R,pm3VR,,,,,,
39604,I2R,pm4,,,,,,
39606,I2R,pm5,,,,,,
39608,I2R,pm4,,,,,,
39608,I2R,NSML,,,,,,
39610,I2R,pm4,,,,,,
39610,I2R,NSML,,,,,,
39612,I2R,I1L,,,,,,
39614,I2R,pm4,,,,,,
39616,I2R,pm4,,,,,,
39618,I2R,pm4,,,,,,
39620,I2R,pm5,,,,,,
39620,I2R,pm4,,,,,,
39657,M3L,MCL,,,,,,
39657,M3L,pm4,,,,,,
39793,M3L,pm4,,,,,,
39797,M3L,pm4,,,,,,
39799,M3L,pm4,,,,,,
39801,M3L,pm4,,,,,,
40645,I2R,pm3VR,,,,,,
40645,I2R,M3L,,,,,,
39039,I6,I1R,,,,,,
39057,I6,I1R,,,,,,
39106,MCR,mc2DL,,,,,,
39109,MCR,pm4,,,,,,
39111,MCR,pm4,,,,,,
39113,MCR,pm4,,,,,,
39115,MCR,pm4,,,,,,
39117,MCR,pm4,,,,,,
39117,MCR,mc2DL,,,,,,
39119,MCR,pm4,,,,,,
39124,MCR,pm4,,,,,,
39124,MCR,mc2V,,,,,,
39134,M4,pm5,,,,,,
39136,M4,pm5,,,,,,
39138,M4,pm5,,,,,,
39140,M4,pm5,,,,,,
39142,M4,pm5,,,,,,
39149,M4,pm5,,,,,,
39149,M4,g1VR,,,,,,
39151,M4,pm5,,,,,,
39151,M4,g1VR,,,,,,
39153,M4,pm5,,,,,,
39153,M4,g1VR,,,,,,
39155,M4,pm5,,,,,,
39155,M4,g1VR,,,,,,
39157,M4,pm5,,,,,,
39162,M4,pm5,,,,,,
39164,M4,pm5,,,,,,
39166,M4,pm5,,,,,,
39168,M4,pm5,,,,,,
39170,M4,pm5,,,,,,
39170,M4,g1VR,,,,,,
39172,M4,g1VR,,,,,,
39172,M4,pm5,,,,,,
39174,M4,pm5,,,,,,
39174,M4,g1VR,,,,,,
39179,M4,pm6VR,,,,,,
39186,M4,pm6VR,,,,,,
39186,M4,mc3DR,,,,,,
39188,M4,pm6VR,,,,,,
39188,M4,mc3DR,,,,,,
39193,M4,pm5,,,,,,
39198,M4,pm5,,,,,,
39198,M4,g1VL,,,,,,
39200,M4,pm5,,,,,,
39202,M4,pm5,,,,,,
39204,M4,pm5,,,,,,
39206,M4,pm5,,,,,,
39208,M4,pm5,,,,,,
39210,M4,pm5,,,,,,
39212,M4,pm5,,,,,,
39212,M4,g1VL,,,,,,
39214,M4,pm5,,,,,,
39214,M4,g1VL,,,,,,
39216,M4,pm5,,,,,,
39216,M4,g1VL,,,,,,
39218,M4,pm5,,,,,,
39220,M4,pm5,,,,,,
39222,M4,pm5,,,,,,
39227,M4,pm5,,,,,,
39227,M4,mc3DL,,,,,,
39232,M4,mc3DL,,,,,,
39232,M4,pm6VL,,,,,,
39234,M4,pm6VL,,,,,,
39234,M4,mc3DL,,,,,,
39236,M4,pm6VL,,,,,,
39236,M4,mc3DL,,,,,,
39238,M4,mc3V,,,,,,
39243,M4,mc3V,,,,,,
39273,M4,pm5,,,,,,
39285,I6,M5,,,,,,
39285,I6,pm5,,,,,,
39307,M4,pm5,,,,,,
39309,M4,pm5,,,,,,
39319,NSMR,M2R,,,,,,
39319,NSMR,pm5,,,,,,
39319,NSMR,bm,,,,,,
39323,NSMR,M2R,,,,,,
39323,NSMR,I5,,,,,,
39325,NSMR,pm5,,,,,,
39325,NSMR,M2R,,,,,,
39327,NSMR,pm5,,,,,,
39331,NSMR,bm,,,,,,
39331,NSMR,pm5,,,,,,
39335,NSMR,M2R,,,,,,
39335,NSMR,bm,,,,,,
39337,NSMR,bm,,,,,,
39341,NSMR,bm,,,,,,
39343,NSMR,bm,,,,,,
39345,NSMR,pm5,,,,,,
39345,NSMR,bm,,,,,,
39347,NSMR,bm,,,,,,
39347,NSMR,pm5,,,,,,
39350,NSMR,bm,,,,,,
39350,NSMR,pm5,,,,,,
39352,NSMR,I4,,,,,,
39352,NSMR,pm5,,,,,,
39354,NSMR,bm,,,,,,
39356,NSMR,bm,,,,,,
39356,NSMR,pm5,,,,,,
39358,NSMR,bm,,,,,,
39362,NSMR,bm,,,,,,
39364,NSMR,bm,,,,,,
39364,NSMR,pm5,,,,,,
39366,NSMR,bm,,,,,,
39366,NSMR,pm5,,,,,,
39368,NSMR,pm5,,,,,,
39368,NSMR,bm,,,,,,
39370,NSMR,pm5,,,,,,
39370,NSMR,I4,,,,,,
39372,NSMR,pm5,,,,,,
39372,NSMR,bm,,,,,,
39374,NSMR,g1VR,,,,,,
39374,NSMR,I5,,,,,,
39376,NSMR,bm,,,,,,
39378,NSMR,I5,,,,,,
39378,NSMR,M2R,,,,,,
39380,NSMR,pm5,,,,,,
39405,I4,M3R,,,,,,
39405,I4,MCR,,,,,,
39407,M3R,pm4,,,,,,
39409,M3R,pm4,,,,,,
39414,M3R,pm4,,,,,,
39416,M3R,pm4,,,,,,
39418,M3R,pm4,,,,,,
39420,M3R,pm4,,,,,,
39420,M3R,g1D,,,,,,
39422,M3R,pm4,,,,,,
39426,M3R,pm4,,,,,,
39430,I6,M3R,,,,,,
39432,I6,M3R,,,,,,
39438,I6,M3R,,,,,,
39438,I6,NSMR,,,,,,
39452,NSMR,I4,,,,,,
39452,NSMR,I5,,,,,,
39494,I4,I5,,,,,,
39505,I4,MCR,,,,,,
39505,I4,MI,,,,,,
39507,I4,I5,,,,,,
39507,I4,MI,,,,,,
39509,M4,pm5,,,,,,
39511,NSMR,bm,,,,,,
39515,I4,MI,,,,,,
39515,I4,I5,,,,,,
39517,I4,MI,,,,,,
39517,I4,M4,,,,,,
39519,I4,I5,,,,,,
39540,I5,pm4,,,,,,
39540,I5,I3,,,,,,
39559,I5,pm4,,,,,,
39561,I5,pm4,,,,,,
39563,I5,pm4,,,,,,
39565,I5,pm4,,,,,,
39567,I5,I4,,,,,,
39567,I5,pm4,,,,,,
39569,I5,pm4,,,,,,
39571,I5,pm4,,,,,,
39573,I5,pm4,,,,,,
39575,I5,pm4,,,,,,
39579,I5,pm4,,,,,,
39581,I5,e3D,,,,,,
39583,I5,pm4,,,,,,
39585,I5,e3D,,,,,,
39589,I5,pm4,,,,,,
39589,I5,e3D,,,,,,
39594,I5,e1D,,,,,,
39596,I5,e1D,,,,,,
39598,I5,e1D,,,,,,
39600,I5,e1D,,,,,,
39622,I6,M3L,,,,,,
39624,I6,M3L,,,,,,
39624,I6,NSML,,,,,,
39626,I6,M3L,,,,,,
39626,I6,NSML,,,,,,
39628,I6,I1L,,,,,,
39630,I6,I1L,,,,,,
39630,I6,I2L,,,,,,
39632,I6,pm5,,,,,,
39634,I6,pm4,,,,,,
39639,I6,pm5,,,,,,
39639,I6,g1D,,,,,,
39641,I6,bm,,,,,,
39643,I6,pm5,,,,,,
39647,NSMR,bm,,,,,,
39649,NSMR,bm,,,,,,
39651,NSMR,NSML,,,,,,
39676,I5,pm4,,,,,,
39679,I5,pm4,,,,,,
39681,I5,MCL,,,,,,
39683,I5,pm4,,,,,,
39685,I5,pm4,,,,,,
39687,I5,pm4,,,,,,
39689,I5,mc2V,,,,,,
39753,NSMR,NSML,,,,,,
40651,I4,I2R,,,,,,
40651,I4,I3,,,,,,
40651,I4,MI,,,,,,
40651,I4,I5,,,,,,
39471,M2L,I5,,,,,,
39471,M2L,NSML,,,,,,
39473,M2L,I5,,,,,,
39473,M2L,NSML,,,,,,
39475,M2L,I5,,,,,,
39481,M2L,I5,,,,,,
39486,M2L,I5,,,,,,
39674,MCL,mc2DR,,,,,,
39694,MCL,mc2DR,,,,,,
39696,MCL,pm4,,,,,,
39700,MCL,pm4,,,,,,
39704,MCL,pm4,,,,,,
39706,MCL,pm4,,,,,,
39775,M2L,M3R,,,,,,
39777,M2L,mc2DL,,,,,,
39779,M2L,I5,,,,,,
39779,M2L,NSML,,,,,,
39781,M2L,I5,,,,,,
39781,M2L,NSML,,,,,,
39783,M2L,mc2DL,,,,,,
39785,M2L,pm5,,,,,,
39787,M2L,mc2DL,,,,,,
39789,M2L,mc2DL,,,,,,
39791,M2L,I5,,,,,,
39791,M2L,NSML,,,,,,
39297,NSML,M5,,,,,,
39457,NSML,I5,,,,,,
39457,NSML,g1VL,,,,,,
39459,NSML,I5,,,,,,
39461,NSML,I5,,,,,,
39461,NSML,g1VL,,,,,,
39463,NSML,g1VR,,,,,,
39463,NSML,I5,,,,,,
39465,NSML,I5,,,,,,
39465,NSML,g1VL,,,,,,
39467,NSML,I4,,,,,,
39467,NSML,I5,,,,,,
39469,NSML,M2L,,,,,,
39469,NSML,I5,,,,,,
39477,NSML,M2L,,,,,,
39477,NSML,I5,,,,,,
39479,NSML,I5,,,,,,
39483,NSML,I5,,,,,,
39488,NSML,I5,,,,,,
39488,NSML,M2L,,,,,,
39653,NSML,I6,,,,,,
39710,NSML,bm,,,,,,
39712,NSML,bm,,,,,,
39714,NSML,bm,,,,,,
39716,NSML,bm,,,,,,
39718,NSML,bm,,,,,,
39720,NSML,bm,,,,,,
39722,NSML,bm,,,,,,
39722,NSML,pm5,,,,,,
39724,NSML,bm,,,,,,
39724,NSML,pm5,,,,,,
39726,NSML,bm,,,,,,
39728,NSML,bm,,,,,,
39730,NSML,bm,,,,,,
39732,NSML,pm5,,,,,,
39732,NSML,bm,,,,,,
39734,NSML,bm,,,,,,
39736,NSML,bm,,,,,,
39738,NSML,g1VL,,,,,,
39738,NSML,bm,,,,,,
39740,NSML,g1VL,,,,,,
39744,NSML,g1VL,,,,,,
39746,NSML,pm8,,,,,,
39746,NSML,g1VL,,,,,,
39751,NSML,I6,,,,,,
