presynaptic,postsynaptic,synapse ID,,,,,,
MCL,pm4,27566,,,,,,
MCL,pm4,27568,,,,,,
MCL,mc2V,27560,,,,,,
MCL,mc2V,27562,,,,,,
MCR,mc2DL,28301,,,,,,
MCR,mc2DL,28305,,,,,,
MCR,mc2DL,28307,,,,,,
MCR,mc2DL,28309,,,,,,
MCR,pm4,27399,,,,,,
MCR,pm4,27406,,,,,,
MCR,pm4,28309,,,,,,
MCR,mc2V,27401,,,,,,
MCR,mc2V,27406,,,,,,
MCR,mc2V,27589,,,,,,
NSML,I5,27696,,,,,,
NSML,I5,27698,,,,,,
NSML,I5,27764,,,,,,
NSML,I5,27766,,,,,,
NSML,I5,28165,,,,,,
NSML,I5,28173,,,,,,
NSML,I6,27787,,,,,,
NSML,I6,28163,,,,,,
NSML,pm5,27698,,,,,,
NSML,pm5,28167,,,,,,
NSML,pm5,28171,,,,,,
NSML,pm5,28179,,,,,,
NSML,pm5,28183,,,,,,
NSML,pm5,28187,,,,,,
NSML,pm5,28189,,,,,,
NSML,M2L,27696,,,,,,
NSML,M2L,27764,,,,,,
NSML,M2L,28165,,,,,,
NSML,M2L,28167,,,,,,
NSML,I4,27766,,,,,,
NSML,I4,28173,,,,,,
NSML,I4,28179,,,,,,
NSML,bm,28163,,,,,,
NSML,bm,28169,,,,,,
NSML,bm,28171,,,,,,
NSML,bm,28175,,,,,,
NSML,bm,28177,,,,,,
NSML,bm,28181,,,,,,
NSML,bm,28183,,,,,,
NSML,bm,28185,,,,,,
NSML,bm,28187,,,,,,
NSML,bm,28189,,,,,,
NSML,bm,28191,,,,,,
NSML,bm,28193,,,,,,
NSML,bm,28195,,,,,,
NSML,pm8,28197,,,,,,
NSML,g1VL,28195,,,,,,
I6,I1R,27312,,,,,,
I6,I1R,27314,,,,,,
I6,I1L,27031,,,,,,
I6,I1L,27471,,,,,,
I6,M3R,27410,,,,,,
I6,M3L,27414,,,,,,
I6,M3L,27471,,,,,,
I6,M3L,27587,,,,,,
I6,NSMR,27410,,,,,,
I6,NSMR,27799,,,,,,
I6,NSML,27471,,,,,,
I6,pm5,27793,,,,,,
I6,pm5,27795,,,,,,
I6,bm,27785,,,,,,
I6,pm8,27783,,,,,,
I6,pm8,27791,,,,,,
M5,pm5,28216,,,,,,
M5,pm5,28218,,,,,,
M5,pm5,28220,,,,,,
M5,pm5,28222,,,,,,
M5,pm5,28224,,,,,,
